solution,cluster,cluster_rep,testcases_time,klee_time,cbmc_time
6.c,cluster15,31.c,0.1402,0.0,0.0
6.c,cluster23,46.c,0.125346,0.0,0.0
6.c,cluster4,13.c,0.122161,0.0,0.0
6.c,cluster25,49.c,0.120496,0.0,0.0
6.c,cluster26,5.c,0.106652,0.0,0.0
6.c,cluster16,32.c,0.111479,0.0,0.0
6.c,cluster3,17.c,0.096024,0.0,0.0
6.c,cluster10,24.c,0.08684299999999999,0.0,0.0
6.c,cluster13,28.c,0.088141,0.0,0.0
6.c,cluster19,40.c,0.08719299999999999,0.0,0.0
6.c,cluster8,21.c,0.088741,0.0,0.0
6.c,cluster6,18.c,0.099649,0.0,0.0
6.c,cluster2,12.c,0.086159,0.0,0.0
6.c,cluster18,39.c,0.090779,0.0,0.0
6.c,cluster11,25.c,0.097604,0.0,0.0
6.c,cluster21,44.c,0.090305,0.0,0.0
6.c,cluster5,14.c,0.088254,0.0,0.0
7.c,cluster24,48.c,0.097652,0.0,0.0
7.c,cluster14,30.c,0.091131,0.396703,0.29830500000000004
8.c,cluster24,48.c,0.17919100000000002,0.0,0.0
8.c,cluster14,50.c,0.14993499999999998,12.887521,0.0
8.c,cluster22,45.c,0.088778,0.0,0.0
8.c,cluster1,29.c,0.08920399999999999,1.957423,10.020827
8.c,cluster20,41.c,0.10521900000000001,0.0,0.0
8.c,cluster9,22.c,0.101807,0.0,0.0
8.c,cluster7,43.c,0.100714,0.0,0.0
8.c,cluster17,36.c,0.100631,1.625978,10.039309
8.c,cluster12,27.c,0.1036,11.310865,0.0
8.c,cluster15,31.c,0.090456,3.601839,5.635884
8.c,cluster23,46.c,0.099857,0.0,0.0
8.c,cluster4,13.c,0.08909199999999999,2.011429,10.018333
8.c,cluster25,49.c,0.114599,1.648327,0.0
8.c,cluster26,5.c,0.144344,1.1182219999999998,10.028882
8.c,cluster16,32.c,0.142091,11.47242,0.0
8.c,cluster3,4.c,0.118748,10.960133,0.0
8.c,cluster10,24.c,0.090475,0.0,0.0
8.c,cluster27,6.c,0.08834600000000001,0.0,0.0
8.c,cluster13,28.c,0.092816,1.9231369999999999,0.0
8.c,cluster19,40.c,0.107165,0.0,0.0
8.c,cluster8,21.c,0.102433,0.0,0.0
8.c,cluster6,18.c,0.12188,1.936384,0.0
8.c,cluster2,12.c,0.093327,2.270063,10.040755
8.c,cluster18,39.c,0.112698,1.6957259999999998,0.0
8.c,cluster11,25.c,0.178432,11.193275,0.0
8.c,cluster21,44.c,0.110439,1.786387,0.0
8.c,cluster5,16.c,0.141022,2.366388,10.023261999999999
9.c,cluster24,48.c,0.12004,0.0,0.0
9.c,cluster14,7.c,0.113009,0.0,0.0
9.c,cluster22,45.c,0.147024,0.0,0.0
9.c,cluster1,3.c,0.14305199999999998,0.0,0.0
9.c,cluster20,41.c,0.25872399999999995,0.0,0.0
9.c,cluster9,22.c,0.12804200000000002,0.0,0.0
9.c,cluster7,43.c,0.108496,0.614879,0.846395
